value,count,cum_count,cum_normalized
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,7,7,6.29723E-05
7,53,60,0.000539763
8,117,177,0.001592299
9,183,360,0.003238575
10,227,587,0.005280677
11,306,893,0.008033465
12,345,1238,0.0111371
13,493,1731,0.015572148
14,613,2344,0.021086722
15,772,3116,0.028031666
16,798,3914,0.035210507
17,871,4785,0.04304606
18,966,5751,0.051736236
19,1063,6814,0.061299028
20,1093,7907,0.071131702
21,1144,9051,0.081423174
22,1144,10195,0.091714646
23,1174,11369,0.102275999
24,1166,12535,0.112765383
25,1177,13712,0.123353724
26,1138,14850,0.13359122
27,1111,15961,0.143585822
28,1109,17070,0.153562433
29,1050,18120,0.163008276
30,989,19109,0.171905362
31,965,20074,0.180586542
32,924,20998,0.188898884
33,874,21872,0.196761425
34,806,22678,0.204012235
35,776,23454,0.210993163
36,713,24167,0.217407341
37,628,24795,0.223056855
38,614,25409,0.228580425
39,535,25944,0.233393307
40,531,26475,0.238170205
41,524,26999,0.242884131
42,488,27487,0.247274199
43,408,27895,0.250944584
44,442,28337,0.254920835
45,412,28749,0.258627204
46,407,29156,0.262288593
47,398,29554,0.265869018
48,387,29941,0.269350486
49,367,30308,0.272652033
50,387,30695,0.276133501
51,388,31083,0.279623965
52,365,31448,0.282907521
53,392,31840,0.286433969
54,359,32199,0.289663548
55,357,32556,0.292875135
56,332,32888,0.295861821
57,330,33218,0.298830515
58,304,33522,0.301565311
59,286,33808,0.304138179
60,311,34119,0.306935948
61,306,34425,0.309688737
62,269,34694,0.312108672
63,266,34960,0.314501619
64,287,35247,0.317083483
65,288,35535,0.319674343
66,291,35826,0.322292191
67,295,36121,0.324946024
68,298,36419,0.327626844
69,325,36744,0.330550558
70,314,37058,0.333375315
71,305,37363,0.336119108
72,327,37690,0.339060813
73,328,38018,0.342011515
74,300,38318,0.344710327
75,284,38602,0.347265203
76,337,38939,0.350296869
77,303,39242,0.35302267
78,353,39595,0.356198273
79,327,39922,0.359139978
80,336,40258,0.362162648
81,358,40616,0.365383231
82,382,40998,0.368819719
83,388,41386,0.372310184
84,433,41819,0.37620547
85,484,42303,0.380559554
86,472,42775,0.384805685
87,538,43313,0.389645556
88,525,43838,0.394368478
89,575,44413,0.399541202
90,600,45013,0.404938827
91,611,45624,0.410435408
92,583,46207,0.415680101
93,593,46800,0.421014754
94,594,47394,0.426358402
95,642,48036,0.432133861
96,694,48730,0.438377114
97,689,49419,0.444575387
98,666,50085,0.450566751
99,665,50750,0.456549118
100,683,51433,0.462693415
101,676,52109,0.468774739
102,688,52797,0.474964016
103,637,53434,0.480694494
104,665,54099,0.486676862
105,677,54776,0.492767182
106,702,55478,0.499082404
107,786,56264,0.506153293
108,798,57062,0.513332134
109,834,57896,0.520834833
110,805,58701,0.528076646
111,786,59487,0.535147535
112,760,60247,0.541984527
113,744,60991,0.548677582
114,750,61741,0.555424613
115,751,62492,0.562180641
116,777,63269,0.569170565
117,751,64020,0.575926592
118,755,64775,0.582718604
119,751,65526,0.589474631
120,749,66275,0.596212666
121,700,66975,0.602509896
122,738,67713,0.609148974
123,707,68420,0.615509176
124,640,69060,0.621266643
125,696,69756,0.627527888
126,653,70409,0.633402303
127,699,71108,0.639690536
128,751,71859,0.646446564
129,756,72615,0.653247571
130,799,73414,0.660435408
131,943,74357,0.668918676
132,875,75232,0.676790212
133,1039,76271,0.6861371
134,990,77261,0.695043181
135,1010,78271,0.704129183
136,938,79209,0.71256747
137,908,80117,0.720735876
138,892,81009,0.728760345
139,842,81851,0.736335013
140,1017,82868,0.745483987
141,915,83783,0.753715365
142,1026,84809,0.762945304
143,1092,85901,0.772768982
144,1000,86901,0.781765023
