value,count,cum_count,cum_normalized
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,11,11,9.89565E-05
7,48,59,0.000530766
8,112,171,0.001538323
9,196,367,0.003301547
10,251,618,0.005559554
11,389,1007,0.009059014
12,596,1603,0.014420655
13,932,2535,0.022804966
14,1264,3799,0.034175963
15,1391,5190,0.046689457
16,1502,6692,0.060201511
17,1690,8382,0.075404822
18,1737,10119,0.091030946
19,1707,11826,0.10638719
20,1681,13507,0.121509536
21,1750,15257,0.137252609
22,1767,17024,0.153148615
23,1763,18787,0.169008636
24,1638,20425,0.183744153
25,1414,21839,0.196464556
26,1384,23223,0.208915077
27,1325,24548,0.220834833
28,1250,25798,0.232079885
29,1120,26918,0.242155452
30,968,27886,0.25086362
31,890,28776,0.258870097
32,803,29579,0.266093919
33,791,30370,0.273209788
34,692,31062,0.279435049
35,755,31817,0.28622706
36,679,32496,0.292335372
37,663,33159,0.298299748
38,631,33790,0.30397625
39,652,34442,0.30984167
40,676,35118,0.315922994
41,604,35722,0.321356603
42,582,36304,0.326592299
43,598,36902,0.331971932
44,529,37431,0.336730838
45,544,37975,0.341624685
46,545,38520,0.346527528
47,500,39020,0.351025549
48,502,39522,0.355541562
49,528,40050,0.360291472
50,507,40557,0.364852465
51,572,41129,0.369998201
52,584,41713,0.375251889
53,569,42282,0.380370637
54,595,42877,0.385723282
55,695,43572,0.391975531
56,737,44309,0.398605614
57,738,45047,0.405244692
58,805,45852,0.412486506
59,813,46665,0.419800288
60,807,47472,0.427060094
61,807,48279,0.434319899
62,875,49154,0.442191436
63,845,49999,0.449793091
64,923,50922,0.458096438
65,883,51805,0.466039942
66,871,52676,0.473875495
67,826,53502,0.481306225
68,736,54238,0.487927312
69,710,54948,0.494314502
70,762,55710,0.501169485
71,765,56475,0.508051457
72,680,57155,0.514168766
73,647,57802,0.519989205
74,699,58501,0.526277438
75,639,59140,0.532025909
76,640,59780,0.537783375
77,672,60452,0.543828715
78,651,61103,0.549685139
79,692,61795,0.555910399
80,737,62532,0.562540482
81,726,63258,0.569071608
82,719,63977,0.575539763
83,675,64652,0.581612091
84,646,65298,0.587423534
85,646,65944,0.593234977
86,709,66653,0.59961317
87,749,67402,0.606351205
88,765,68167,0.613233177
89,842,69009,0.620807845
90,911,69920,0.629003239
91,974,70894,0.637765383
92,910,71804,0.645951781
93,930,72734,0.6543181
94,902,73636,0.66243253
95,856,74492,0.670133141
96,789,75281,0.677231018
97,861,76142,0.68497661
98,818,76960,0.692335372
99,925,77885,0.700656711
100,975,78860,0.709427852
101,967,79827,0.718127024
102,902,80729,0.726241454
103,952,81681,0.734805685
104,916,82597,0.74304606
105,828,83425,0.750494782
106,849,84274,0.758132422
107,879,85153,0.766039942
108,825,85978,0.773461677
109,745,86723,0.780163728
110,644,87367,0.785957179
111,534,87901,0.790761065
112,427,88328,0.794602375
113,372,88700,0.797948902
114,298,88998,0.800629723
115,265,89263,0.803013674
116,181,89444,0.804641958
117,130,89574,0.805811443
118,88,89662,0.806603095
119,68,89730,0.807214825
120,41,89771,0.807583663
121,65,89836,0.808168406
122,60,89896,0.808708168
123,46,89942,0.809121986
124,58,90000,0.809643757
125,43,90043,0.810030587
126,34,90077,0.810336452
127,44,90121,0.810732278
128,63,90184,0.811299028
129,47,90231,0.811721842
130,63,90294,0.812288593
131,58,90352,0.812810363
132,52,90404,0.813278158
133,61,90465,0.813826916
134,72,90537,0.814474631
135,72,90609,0.815122346
136,61,90670,0.815671105
137,48,90718,0.816102915
138,59,90777,0.816633681
139,71,90848,0.8172724
140,66,90914,0.817866139
141,60,90974,0.818405901
142,54,91028,0.818891688
143,59,91087,0.819422454
144,66,91153,0.820016193
